央视频道,#genre#
CCTV1-1综合,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8$8M1080P#http://117.148.179.160/PLTV/88888888/224/3221231468/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8$5M1080P50F#http://ott.js.chinamobile.com/TVOD/3/224/3221228118/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8#http://39.130.202.81:6610/gitv_live/G_CCTV-2-HD/1.m3u8
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8#http://39.135.32.39:6610/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccma#http://117.148.179.37/PLTV/88888888/224/3221229875/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8$5M1080P50F#http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8#http://59.49.111.212/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1#http://223.110.254.137:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8#http://39.130.202.76:6610/gitv_live/CCTV-3/CCTV-3.m3u8
CCTV-4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$4M1080P#http://202.204.118.254/hls/ch5.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8$5M1080P#http://ott.js.chinamobile.com/TVOD/3/224/3221228156/index.m3u8#http://39.130.202.81:6610/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8#http://202.204.118.254/hls/ch5.m3u8
CCTV-5体育,http://ott.js.chinamobile.com/TVOD/3/224/3221228173/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225743/index.m3u8#http://129.226.106.4/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226146/index.m3u8
CCTV-5+体赛,http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225706/index.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv5plus_2/index.m3u8#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6电影,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227430/index.m3u8$8M1080P#http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8$7M1080P#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8$5M1080P50F#http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228185/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8#http://202.204.118.254/hls/ch11.m3u8#http://cg01.hrtn.net:9090/live/cctv6hd_4000.m3u8
CCTV-7军事,http://ott.js.chinamobile.com/TVOD/3/224/3221227642/index.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv7_2/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225492/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8$5M1080P50F#http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8#rtp://239.69.1.103:10256
CCTV-8电视剧,http://ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8$5M1080P50F#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8$4M1080P#http://39.135.137.24:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/1.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225666/index.m3u8
CCTV-9记录,http://ott.js.chinamobile.com/TVOD/3/224/3221227614/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8$3M1080P#http://111.63.117.13:6060/030000001000/G_CCTV-9/G_CCTV-9.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231697/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225502/index.m3u8#http://39.134.134.86/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226236/1.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225502/index.m3u8
CCTV-10科学,http://117.148.179.137:80/PLTV/88888888/224/3221231666/1.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228078/index.m3u8#http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8$3M1080P#http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8#http://39.135.137.35:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/1.m3u8
CCTV-11戏曲,http://117.148.179.163:80/PLTV/88888888/224/3221231711/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8#http://223.110.251.152:6610/cntv/live1/cctv-11/cctv-11#http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225750/index.m3u8#http://39.135.137.38:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/1.m3u8
CCTV-12法治,http://39.130.202.81:6610/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221227655/index.m3u8#http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227637/index.m3u8$8M1080P#http://223.110.243.224/PLTV/3/224/3221227637/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=183#http://183.207.248.71/cntv/live1/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12#http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225645/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225498/index.m3u8
CCTV-13新闻,http://ott.js.chinamobile.com/TVOD/3/224/3221228224/index.m3u8#http://newsbsh5ca.v.live.baishancdnx.cn/live/newscctv13_2_900.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225504/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228224/index.m3u8#http://117.148.179.37/PLTV/88888888/224/3221229690/index.m3u8#http://223.110.242.200:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ#http://ott.js.chinamobile.com/TVOD/3/224/3221228121/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8$3M1080P#http://111.13.42.8/PLTV/88888888/224/3221226568/1.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225650/index.m3u8
CCTV-14少儿,http://59.51.68.40:1936/live/cctv14/playlist.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225573/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8$4M1080P#http://223.110.242.151:6610/cntv/live1/HD-8000k-1080P-cctv14/1.m3u8#http://39.130.202.76:6610/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8#http://223.110.242.146:6610/cntv/live1/HD-8000k-1080P-cctv14/1.m3u8
CCTV-15音乐,http://111.40.196.9/PLTV/88888888/224/3221225500/index.m3u8#http://223.110.242.26/ott.js.chinamobile.com/PLTV/3/224/3221227538/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221227538/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225641/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225513/index.m3u8#http://117.148.179.169:80/PLTV/88888888/224/3221231693/1.m3u8#http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225693/index.m3u8
CCTV-16奥林匹克,http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8#http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226880/index.m3u8#http://39.135.129.162/hwottcdn.ln.chinamobile.com/TVOD/-/224/3221226880/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228144/index.m3u8#http://59.49.72.48/live.aishang.ctlcdn.com/00000110240388_1/encoder/0/playlist.m3u8?CONTENTID=00000110240388_1#https://live.olympicchannelchina.cn:443/aoyun/cctv16_1ud.m3u8
CCTV-17农业,http://ott.js.chinamobile.com/TVOD/3/224/3221227726/index.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv17_2/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8$4M1080P#http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225833/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225859/index.m3u8
CETV-1教育,http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8#http://iptv.tvfix.org/hls/cetv1hd.m3u8#http://39.130.202.81:6610/gitv_live/G_CETV-1-HD/G_CETV-1-HD.m3u8#http://39.136.18.70/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225661/index.m3u8#http://39.134.134.82:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226494/1.m3u86#http://117.148.179.160/PLTV/88888888/224/3221231714/index.m3u8#http://39.134.135.81/otttv.bj.chinamobile.com/TVOD/88888888/224/3221225905/1.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8#http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225909/index.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231552/index.m3u8"

河北频道,#genre#
河北卫视,http://live2.plus.hebtv.com/hbwsx/hd/live.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225867/index.m3u8
河北农民,http://live5.plus.hebtv.com/nmpdx/hd/live.m3u8#https://jwplay.hebyun.com.cn/live/hbnmtv/1500k/tzwj_video.m3u8
河北经济,http://live2.plus.hebtv.com/jjshx/playlist.m3u8#https://jwplay.hebyun.com.cn/live/hbjjtv/1500k/tzwj_video.m3u8
河北都市,http://live5.plus.hebtv.com/hbdsx/hd/live.m3u8
河北影视,http://live6.plus.hebtv.com/hbysx/hd/live.m3u8#https://jwplay.hebyun.com.cn/live/hbystv/1500k/tzwj_video.m3u8
河北公共,http://live7.plus.hebtv.com/hbggx/hd/live.m3u8
邢台综合,http://a.xttv.top/xttv/5ebe09cb3d1a0f3f3d062e99c78175a0.m3u8
邢台生活,http://a.xttv.top/xttv/d0586743dc68918f808f28b8bc90c737.m3u8

卫视频道,#genre#
湖南卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8$4M1080P#http://223.110.244.133:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/#http://111.40.196.9/PLTV/88888888/224/3221225554/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225521/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8$3M1080P#http://39.135.138.60:18890/PLTV/88888910/224/3221225745/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8#http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/1.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225519/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225594/index.m3u8
东方卫视,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227597/index.m3u8#http://223.110.242.152:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/#http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8#http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226237/1.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8#http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/hddfws/2300000/mnf.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225542/index.m3u8
江苏卫视,http://223.110.246.82/ott.js.chinamobile.com/PLTV/4/224/3221227689/index.m3u8#http://223.110.242.158:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/#http://111.40.196.9/PLTV/88888888/224/3221225596/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225743/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8$3M1080P#http://117.148.179.160/PLTV/88888888/224/3221231447/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225578/index.m3u8
浙江卫视,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227692/index.m3u8$4M1080P#http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8$3M1080P#http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/1.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225538/index.m3u8
深圳卫视,http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221227695/index.m3u8#http://223.110.244.148:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CQ/#http://39.134.39.37/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226245/1.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225602/index.m3u8
BRTV北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8#http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227694/index.m3u8$4M1080P#http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227694/index.m3u8#http://223.110.244.200:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/#http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226436/1.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226161/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225646/index.m3u8
BRTV冬奥纪实,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s6/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225676/index.m3u8
天津卫视,http://129.226.106.4/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225588/index.m3u8#http://iptv.tvfix.org/hls/tjhd.m3u8
安徽卫视,http://39.134.39.39/PLTV/88888888/224/3221226205/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226205/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225638/index.m3u8
重庆卫视,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv#http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225592/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8#http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227553/index.m3u8$4M1080P#http://39.134.135.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226496/1.m3u8
广东卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225701/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225533/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225531/index.m3u8
广西卫视,http://39.130.202.76:6610/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225518/index.m3u8
贵州卫视,http://cdn2.ynumc.com:8278/gzws/playlist.m3u8#http://39.130.202.76:6610/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8#http://cdn1.ynumc.com:8278/gzws/playlist.m3u8
河南卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228221/index.m3u8#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil#http://39.134.24.24/PLTV/88888888/224/3221225716/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225566/index.m3u8
吉林卫视,http://39.134.24.24/PLTV/88888888/224/3221225804/index.m3u8
江西卫视,http://39.134.39.39/PLTV/88888888/224/3221226207/index.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231964/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225591/index.m3u8
